Discord Name,Sono crew id,Source,Body,Head,Mask,Mouth,accessorie,Pet,Front Distance
snappytux,4,VIP,fujingang,fujingang,fujinmask,,,,
snappytux,890,twitter,Huntergang,bloodgang,white,ani-laugh,tattoo,,
snappytux,158,Discord,bushidogang,bear,icemask,frozen-pizza,,,
Darkjunk,392,twitter,deathgang,huntergang,blackanimate,pierce-tounge,,ghost,
0xTantop,532,twitter,anarchygang,anarchygang,skeleton,money,,Orange,
AummuM,145,twitter,killgang,biggang,goldmask,ani-laugh,mask,,
spboy1304,255,twitter,Rozugang,Rozugang,horror,pierce-tounge,magic-symbol,ghost,
tmdv8,311,twitter,darkgang,Darkgang,white,,,,
Jsx,282,twitter,bloodgang,birdnestblue,blackanimate,money,tattoo,,
Jsx,938,Discord,Hebisnake,GalsGangblue,blackani,flower,,,
diewland.eth,1095,Discord,firegang,Galsgang,firemaskani,yummy,heart,,
burntquaso.eth,231,twitter,Goldgang,goldgang,goldmask,ogre white,,,
ballvs,76,Discord,Bloodygal,hebigang,,shy,,,
mrakkapolr,8,Discord,prettygang,catear,firemaskani,sharp teeth,star,,
mrakkapolr,940,VIP,piggygang,piggygang,ice-mask,,,,
sealain,536,Discord,Machinegungang,machinegungang,pink,gasmask,,,
darkjunk,162,Discord,beatgang,prettygang,blackani,pierce-mouth,,,
"@IntenseVicius",1057,twitter - Bored Town,raijingang,raijingang,raijinmask,,,,
"@m_a_fuen",1108,twitter - Bored Town,Skeletongang,skeletongang,skeleton,,,Orange,
Nat GM,428,VIP,Hebigang,green china,blackani,cigarette,,,
sonoson,463,Artist,biggang,bushidogang,fujinmask,white-beard,,,
@121ysk,217,twitter - Bored Town,darkgang,skeletongang,raijinmask,,,,monitor
@Kevin20016767,1017,twitter - Bored Town,Machinegungang,orenge head,white,pierce-mouth,star,,
@muhaimintphp - ตกหล่นจากครั้งก่อนเขาเคยแจ้งแล้วแต่ไม่ได้เปลี่ยนเมต้าครับ,629,twitter - Bored Town,killgang,killgang,wooden,white-beard,,Orange,
@TdvTom,198,twitter - Bored Town,Galsgang,grey pigtail,blackani,flower,star,,
