Discord Name,Sono crew id,Source,Body,Head,Mask,Mouth,accessorie,Pet,Front Distance
iChamp,37,VIP,Cloud-Dress,flowerhead,black_g,Ani-Fish,,,
diewland,973,Twitter,green tank top,Thaigreen,,Pipe,,,
Nat GM,844,VIP,PinkHawaii,Squidhead,,mouth cover,,,
fomopunk,362,VIP,BlueHawaii,legendred,leaf_m,Sea-Fish,,,
fomopunk,50,VIP,swimblueleaf,bigbow-blue,,flower,,,
MrAkkapolr | SONO,3,VIP,pink-bikini,coconut-pink,leaf_g,shy,,,zerogravity
sonoson,463,Artist,blue-stripe-shirt,DarkKing,leaf_m,Card,,,
@JhoandejesusAP,90,twitter,beach-tank-top,SailorHat,,Pipe,,SeaGull,
@oknoart,22,twitter,Hawaii-Tattoo,short-curly-surf,robot,Sea-Fish,,,
@Silvez_boy,266,twitter,leopard-bikini,catear,,shy,,SeaGull,
@PhChatchai,253,twitter,Skull-bikini,Pirate,crystal,lobster,,,
@_Kanoom_,875,twitter,Shellbikini,rainbow-curly,,Ani-Fish,heart,,
@mackeyinthe01,112,twitter,swimwarmflower,coconuthead,leaf_g,smile_g,,SeaGull,
